gameid,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,top_red,jng_red,mid_red,bot_red,sup_red,result
LOLTMNT05_171038,Gnar,Xin Zhao,Ahri,Corki,Leona,Zaahen,Diana,Mel,Sivir,Braum,0
LOLTMNT05_172024,Renekton,Dr. Mundo,Ekko,Corki,Rell,Zaahen,Diana,Galio,Miss Fortune,Zac,1
LOLTMNT05_171043,Ambessa,Nocturne,Orianna,Ziggs,Alistar,K'Sante,Wukong,Galio,Sivir,Neeko,0
LOLTMNT05_171051,Cho'Gath,Jayce,Akali,Corki,Leona,K'Sante,Xin Zhao,Orianna,Yunara,Poppy,1
LOLTMNT05_171066,Ambessa,Jarvan IV,Ryze,Lucian,Bard,Rumble,Wukong,Neeko,Corki,Rakan,1
LOLTMNT05_172032,Sion,Wukong,Viktor,Caitlyn,Leona,K'Sante,Dr. Mundo,Syndra,Yunara,Bard,0
LOLTMNT05_171070,Aatrox,Dr. Mundo,Azir,Corki,Rell,Gwen,Naafiri,Ekko,Sivir,Poppy,0
LOLTMNT05_172033,Darius,Lillia,Syndra,Miss Fortune,Poppy,Aatrox,Jarvan IV,Ryze,Corki,Rell,1
LOLTMNT03_335584,Ambessa,Jarvan IV,Ryze,Varus,Alistar,Sion,Jayce,Cassiopeia,Jhin,Nautilus,1
LOLTMNT03_334607,Gnar,Vi,Akali,Kai'Sa,Rell,Renekton,Xin Zhao,Taliyah,Kalista,Renata Glasc,1
LOLTMNT03_335630,Sion,Trundle,Azir,Aphelios,Lulu,K'Sante,Xin Zhao,Orianna,Yunara,Nautilus,0
LOLTMNT03_334658,Renekton,Qiyana,Taliyah,Kai'Sa,Alistar,Volibear,Jarvan IV,Ryze,Lucian,Braum,1
LOLTMNT03_335649,K'Sante,Vi,Akali,Yunara,Nautilus,Rumble,Jarvan IV,Azir,Jhin,Alistar,1
LOLTMNT03_334676,Gnar,Dr. Mundo,Ryze,Lucian,Nami,Yasuo,Wukong,Taliyah,Aphelios,Lulu,0
LOLTMNT03_335767,Renekton,Wukong,Taliyah,Yunara,Lulu,Ambessa,Xin Zhao,Syndra,Jhin,Neeko,1
LOLTMNT03_334841,Zaahen,Jarvan IV,Anivia,Varus,Alistar,Sion,Nocturne,Ryze,Ezreal,Leona,1
LOLTMNT03_335791,K'Sante,Xin Zhao,Azir,Aphelios,Thresh,Yorick,Jarvan IV,Taliyah,Ashe,Alistar,0
LOLTMNT03_335800,Sion,Vi,Aurora,Kai'Sa,Leona,Gwen,Wukong,Ahri,Yunara,Rakan,1
LOLTMNT06_163113,Ornn,Aatrox,Viktor,Corki,Leona,Gwen,Poppy,Orianna,Aphelios,Rell,0
LOLTMNT06_163114,Zaahen,Xin Zhao,Ryze,Sivir,Karma,K'Sante,Wukong,Veigar,Yunara,Nautilus,0
LOLTMNT01_319628,Mordekaiser,Jarvan IV,Orianna,Kai'Sa,Leona,Ambessa,Wukong,Azir,Yunara,Braum,0
LOLTMNT01_319633,Rumble,Wukong,Orianna,Ezreal,Rakan,Aatrox,Ambessa,Azir,Corki,Rell,1
LOLTMNT06_163120,Sion,Naafiri,Aurora,Vayne,Rakan,Kled,Rengar,Akali,Tristana,Neeko,0
LOLTMNT01_319631,Vladimir,Ambessa,Orianna,Sivir,Alistar,Jayce,Diana,Ryze,Corki,Nami,1
LOLTMNT01_319634,Ambessa,Xin Zhao,Akali,Yunara,Rell,K'Sante,Sejuani,Azir,Xayah,Rakan,0
LOLTMNT01_318843,Vayne,Dr. Mundo,Aurelion Sol,Aphelios,Nautilus,Zaahen,Sejuani,Azir,Miss Fortune,Braum,1
LOLTMNT01_319643,Rumble,Xin Zhao,Ryze,Yunara,Alistar,K'Sante,Wukong,Taliyah,Kai'Sa,Rell,1
LOLTMNT01_319644,Rumble,Jarvan IV,Ziggs,Yunara,Lulu,Sion,Sejuani,Azir,Corki,Nami,0
LOLTMNT01_319645,Renekton,Wukong,Orianna,Sivir,Alistar,Ornn,Jarvan IV,Syndra,Corki,Rell,0
LOLTMNT06_163125,Zaahen,Wukong,Orianna,Kai'Sa,Alistar,Udyr,Jarvan IV,Akali,Yunara,Rell,1
LOLTMNT06_163127,Rumble,Ambessa,Galio,Sivir,Neeko,Ornn,Xin Zhao,Mel,Corki,Nautilus,1
LOLTMNT01_319673,Jax,Ambessa,Syndra,Corki,Rell,K'Sante,Jarvan IV,Azir,Aphelios,Rakan,1
LOLTMNT01_319672,K'Sante,Xin Zhao,Orianna,Sivir,Lulu,Gnar,Viego,Syndra,Seraphine,Leona,0
LOLTMNT01_318863,K'Sante,Malphite,Viktor,Kai'Sa,Nami,Gnar,Trundle,Mel,Sivir,Karma,1
LOLTMNT01_318864,Ornn,Wukong,Ryze,Sivir,Braum,Gwen,Jayce,Galio,Draven,Alistar,0
LOLTMNT01_319687,Jax,Trundle,Syndra,Corki,Alistar,Darius,Wukong,Taliyah,Yunara,Leona,1
LOLTMNT01_318875,Sion,Wukong,Orianna,Smolder,Rell,Gwen,Dr. Mundo,Aurelion Sol,Corki,Alistar,0
LOLTMNT01_318874,Sion,Jarvan IV,Orianna,Lucian,Nami,Zaahen,Sejuani,Akali,Ezreal,Karma,0
LOLTMNT01_318877,Ambessa,Naafiri,Orianna,Corki,Neeko,K'Sante,Jarvan IV,Viktor,Jhin,Rakan,1
LOLTMNT03_337058,Rumble,Wukong,Ahri,Corki,Pantheon,K'Sante,Malphite,Taliyah,Yunara,Alistar,1
LOLTMNT03_337069,Sion,Dr. Mundo,Viktor,Ashe,Soraka,Renekton,Sylas,Ryze,Lucian,Braum,0
13060-13060_game_1,K'Sante,Wukong,Ahri,Varus,Nautilus,Rumble,Pantheon,Taliyah,Yunara,Alistar,1
LOLTMNT03_337081,Rek'Sai,Jarvan IV,Zoe,Aphelios,Thresh,Ambessa,Nocturne,Aurora,Ziggs,Rell,1
